Date,Building,Chilled Water (kWh),Cooling (kWh),Domestic Cold Water (m3),Electricity (kWh),Heating (kWh),Heating Water (kWh),Natural Gas (kWh)
2018-10-01,B1,,"4,920.66",6.39,"13,240.10","16,244.46",,"1,319.45"
2018-10-01,B2,,"4,258.32",89.69,"13,846.41","50,505.60",,"2,427.78"
2018-10-01,B3,0,,70.1,"7,181.70",,"12,147.23",0
2018-10-01,B4,0,,38.1,"9,500.00",,"8,177.78",0
2018-10-01,B5,383.92,,25.18,"2,038.85",,"3,388.89",0
2018-10-01,B6,641.83,,9.2,"3,911.95",,"16,225.01",191.67
2018-10-02,B1,,"4,882.56",49.96,"13,108.56","17,772.24",,"1,413.89"
2018-10-02,B2,,"4,193.85",59.86,"12,405.78","46,555.59",,"2,116.67"
2018-10-02,B3,0,,61,"7,130.81",,"13,202.79",0
2018-10-02,B4,0,,26.6,"9,697.42",,"8,116.67",0
2018-10-02,B5,401.51,,26.07,"2,060.20",,"3,519.45",0
2018-10-02,B6,726.82,,7.3,"3,880.62",,"17,069.46",305.56
2018-10-03,B1,,"5,163.91",101.98,"13,307.63","16,852.79",,"1,288.89"
2018-10-03,B2,,"4,205.57",88.81,"12,586.90","45,652.81",,"2,141.67"
2018-10-03,B3,0,,63.8,"7,168.21",,"12,113.90",0
2018-10-03,B4,0,,36.3,"9,999.24",,"7,747.23",0
2018-10-03,B5,559.77,,24.35,"2,085.22",,"2,955.56",0
2018-10-03,B6,650.62,,7.1,"3,888.93",,"16,775.01",191.67
2018-10-04,B1,,"5,117.02",110.85,"12,917.94","15,450.01",,"1,422.22"
2018-10-04,B2,,"4,088.34",87.13,"12,675.00","45,244.48",,"2,713.89"
2018-10-04,B3,0,,61.6,"6,904.46",,"11,438.90",0
2018-10-04,B4,0,,33.2,"9,162.99",,"7,288.89",0
2018-10-04,B5,433.75,,25.57,"1,929.13",,"2,897.22",0
2018-10-04,B6,603.73,,7.4,"3,836.88",,"16,505.57",172.22
2018-10-05,B1,,"5,225.46",106.5,"10,770.25","13,422.23",,"1,413.89"
2018-10-05,B2,,"3,836.30",75.61,"12,510.62","43,794.48",,"2,233.34"
2018-10-05,B3,0,,59.1,"5,517.62",,"10,597.23",0
2018-10-05,B4,0,,25,"7,271.21",,"6,547.23",0
2018-10-05,B5,416.16,,21.07,"1,863.30",,"2,172.22",0
2018-10-05,B6,594.93,,8.3,"3,355.99",,"16,672.24",166.67
2018-10-06,B1,,"5,243.04",94.6,"10,623.76","11,633.34",,"1,380.56"
2018-10-06,B2,,"3,279.47",44.45,"9,577.74","32,013.91",,"2,122.22"
2018-10-06,B3,0,,34.8,"5,998.18",,"8,525.01",0
2018-10-06,B4,0,,1.1,"7,109.90",,"4,519.45",0
2018-10-06,B5,797.15,,22.91,"1,888.33",,"1,886.11",0
2018-10-06,B6,732.68,,0.2,"3,339.60",,"15,880.57",136.11
2018-10-07,B1,,"5,178.57",93.07,"11,013.11","11,255.56",,"1,327.78"
2018-10-07,B2,,"3,302.91",34.9,"9,618.95","31,500.03",,"2,133.34"
2018-10-07,B3,0,,34.3,"6,143.46",,"9,219.45",0
2018-10-07,B4,0,,1.3,"8,832.98",,"4,394.45",0
2018-10-07,B5,776.64,,19.47,"2,073.06",,"1,838.89",0
2018-10-07,B6,817.67,,0.1,"3,483.95",,"15,088.90",205.56
2018-10-08,B1,,"5,187.36",99.34,"13,130.41","15,102.79",,"1,341.67"
2018-10-08,B2,,"4,185.05",41.55,"11,141.70","47,383.37",,"2,188.89"
2018-10-08,B3,0,,35.1,"7,153.06",,"12,180.57",0
2018-10-08,B4,0,,1.5,"9,843.49",,"7,316.67",0
2018-10-08,B5,436.68,,24.78,"2,001.10",,"3,163.89",0
2018-10-08,B6,621.31,,0.2,"3,958.56",,"16,525.01",236.11
2018-10-09,B1,,"5,313.38",106.82,"12,965.90","18,547.24",,"1,272.22"
2018-10-09,B2,,"4,539.67",90.57,"13,106.09","47,891.70",,"2,225.00"
2018-10-09,B3,0,,77.5,"7,213.56",,"13,016.68",0
2018-10-09,B4,0,,35.5,"9,663.49",,"8,358.34",0
2018-10-09,B5,337.03,,25.6,"2,103.62",,"3,563.89",0
2018-10-09,B6,738.54,,8.6,"4,009.25",,"15,508.35",280.56
2018-10-10,B1,,"5,459.91",111.36,"13,287.64","16,936.12",,"1,305.56"
2018-10-10,B2,,"4,574.84",81.75,"12,573.98","46,358.37",,"2,283.34"
2018-10-10,B3,0,,63.6,"7,182.96",,"12,802.79",0
2018-10-10,B4,0,,36.8,"9,421.21",,"8,613.90",0
2018-10-10,B5,354.62,,24.98,"2,088.84",,"3,505.56",0
2018-10-10,B6,668.2,,8.7,"3,975.46",,"16,750.01",230.56
2018-10-11,B1,,"5,442.33",94.27,"12,903.92","14,272.23",,"1,244.45"
2018-10-11,B2,,"4,085.41",84.95,"12,601.96","43,347.26",,"2,263.89"
2018-10-11,B3,0,,61.2,"6,934.18",,"10,822.23",0
2018-10-11,B4,0,,33.4,"8,493.44",,"7,397.23",0
2018-10-11,B5,407.37,,27.48,"1,970.86",,"2,816.67",0
2018-10-11,B6,609.59,,9.9,"3,897.48",,"15,750.01",144.44
2018-10-12,B1,,"5,319.24",108.24,"11,309.64","10,219.45",,"1,216.67"
2018-10-12,B2,,"5,638.69",85.48,"12,539.21","40,527.81",,"2,311.11"
2018-10-12,B3,0,,58.6,"5,563.25",,"8,730.56",0
2018-10-12,B4,0,,27.8,"7,372.77",,"6,527.78",0
2018-10-12,B5,949.55,,26.88,"2,044.52",,"1,863.89",0
2018-10-12,B6,"1,315.89",,6.1,"3,441.43",,"14,952.79",122.22
2018-10-13,B1,,"5,676.79",94.08,"11,046.54","15,433.35",,"1,244.45"
2018-10-13,B2,,"3,502.20",60.45,"9,666.23","35,436.14",,"2,144.45"
2018-10-13,B3,0,,36.1,"6,019.46",,"10,958.34",0
2018-10-13,B4,0,,1.7,"6,891.17",,"6,244.45",0
2018-10-13,B5,354.62,,25.35,"2,110.83",,"3,136.11",0
2018-10-13,B6,571.49,,0.4,"3,364.70",,"16,477.79",250.0
2018-10-14,B1,,"5,134.61",94.76,"13,375.38","12,605.57",,"1,236.11"
2018-10-14,B2,,"3,458.24",74.5,"9,823.01","31,875.03",,"2,147.22"
2018-10-14,B3,0,,34.9,"7,097.45",,"10,322.23",0
2018-10-14,B4,0,,1,"8,514.62",,"5,627.78",0
2018-10-14,B5,841.11,,25.41,"2,079.90",,"2,241.67",0
2018-10-14,B6,776.64,,0.3,"4,004.02",,"15,225.01",191.67
2018-10-15,B1,,"5,310.45",51.86,"13,900.05","7,911.12",,"1,255.56"
2018-10-15,B2,,"6,986.81",93.26,"11,766.62","34,277.81",,"2,213.89"
2018-10-15,B3,0,,67.6,"7,146.58",,"6,483.34",0
2018-10-15,B4,0,,36.2,"8,587.14",,"5,072.23",0
2018-10-15,B5,"1,292.44",,25.04,"1,970.44",,"1,302.78",0
2018-10-15,B6,199.29,,7.1,"4,160.21",,"11,983.34",83.33
2018-10-16,B1,,"9,176.06",19.9,"13,740.80","7,652.78",,"1,341.67"
2018-10-16,B2,,"8,965.04",94.2,"12,570.05","36,083.36",,"3,011.11"
2018-10-16,B3,0,,67.6,"7,057.12",,"6,011.12",0
2018-10-16,B4,0,,33.9,"8,466.03",,"4,716.67",0
2018-10-16,B5,"1,386.23",,26.14,"1,960.26",,"1,383.33",0
2018-10-16,B6,61.54,,7.7,"4,224.96",,"11,522.23",66.67
2018-10-17,B1,,"7,402.98",7.34,"13,641.58","5,794.45",,"1,244.45"
2018-10-17,B2,,"9,791.50",92.28,"13,852.13","32,275.03",,"2,508.34"
